location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,nearest_grid_mw,grid_dist_km,tier,tier_label,target_name,demand_level,priority,priority_action,estimated_demand_kw,data_quality,daily_sessions_p80,daily_sessions_avg,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,is_tent,afir_gap_threshold_km,utilization_pct
IBE_001,40.57308,-3.240925,A-2,5,Sufficient,i-DE,4.83,30.3,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,150,131,79.0,2,3,5,185000,True,60,53.3
IBE_002,40.846426,-2.871971,A-2,5,Sufficient,i-DE,4.83,70.1,2,Partner Co-location,Repsol,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,150,131,79.0,2,3,5,185000,True,60,53.3
IBE_003,40.798179,-2.655168,A-2,5,Congested,Endesa,0.0,76.9,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_004,41.040243,-2.444286,A-2,5,Congested,Endesa,0.0,45.2,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_005,41.258052,-1.688781,A-2,5,Congested,Endesa,0.0,8.7,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_006,41.401789,-1.541575,A-2,5,Congested,Endesa,0.0,4.2,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_007,41.589026,-1.087176,A-2,5,Congested,Endesa,0.0,0.5,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_008,41.569849,-0.648856,A-2,5,Congested,Endesa,0.0,3.3,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,370000,True,60,53.3
IBE_009,41.517383,-0.083468,A-2,5,Congested,Endesa,0.0,7.9,2,Partner Co-location,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_010,41.519389,0.456923,A-2,5,Congested,Endesa,0.0,5.3,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_011,41.641292,0.883123,A-2,5,Congested,Endesa,0.0,1.1,1,Upgrade Iberdrola,Mercadona Mollerussa,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_012,41.561852,1.230453,A-2,5,Congested,Endesa,0.0,14.1,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,370000,True,60,53.3
IBE_013,41.473692,1.659009,A-2,5,Congested,Endesa,0.0,6.1,2,Partner Co-location,La Benzinera de Sant Pere,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_014,41.399381,1.982382,A-2,5,Congested,Endesa,0.0,1.0,2,Partner Co-location,EsclatOil,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,150,131,79.0,2,3,5,305000,True,60,53.3
IBE_015,40.193142,-3.301801,A-3,4,Moderate,Naturgy,0.701,18.0,2,Partner Co-location,Moeve,High,2,Deploy 4-11 chargers. Plan grid expansion.,600,measured,166,137,109.3,2,3,5,157000,True,60,73.7
IBE_016,40.006951,-2.968357,A-3,5,Congested,Endesa,0.0,13.8,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,166,137,87.5,2,3,5,305000,True,60,58.9
IBE_017,39.850112,-2.4879,A-3,5,Congested,Endesa,0.0,18.8,2,Partner Co-location,Repsol Villares del Saz,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,166,137,87.5,2,3,5,305000,True,60,58.9
IBE_018,39.989677,-2.110963,A-3,5,Sufficient,Endesa,20.3,3.2,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,166,137,87.5,2,3,5,185000,True,60,58.9
IBE_019,39.718535,-1.7978,A-3,5,Sufficient,Endesa,7.15,19.4,3,New Partner,New site needed,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,166,137,87.5,2,3,5,250000,True,60,58.9
IBE_020,39.526976,-1.448125,A-3,5,Sufficient,Endesa,7.15,48.6,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,166,137,87.5,2,3,5,185000,True,60,58.9
IBE_021,39.461159,-0.96883,A-3,5,Sufficient,i-DE,38.17,34.0,2,Partner Co-location,Área de Servicio Las Moratillas,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,166,137,87.5,2,3,5,185000,True,60,58.9
IBE_022,39.472142,-0.663105,A-3,5,Congested,Viesgo,0.03,8.1,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,measured,166,137,87.5,2,3,5,305000,True,60,58.9
IBE_023,40.102486,-3.848275,A-4,5,Congested,Viesgo,0.159,17.2,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,measured,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_024,39.807779,-3.971844,A-4,5,Congested,Endesa,0.0,44.7,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_025,39.550159,-3.738688,A-4,5,Congested,Endesa,0.0,13.9,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,370000,True,60,57.5
IBE_026,39.277112,-3.521558,A-4,5,Sufficient,Endesa,19.83,26.8,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,750,measured,162,137,85.3,2,3,5,185000,True,60,57.5
IBE_027,39.123138,-3.892408,A-4,4,Moderate,Naturgy,0.67,20.4,2,Partner Co-location,Petronor,High,2,Deploy 4-11 chargers. Plan grid expansion.,600,measured,162,137,106.7,2,3,5,157000,True,60,71.9
IBE_028,38.73317,-4.065275,A-4,5,Moderate,Naturgy,0.84,3.0,1,Upgrade Iberdrola,,High,2,Deploy 4-11 chargers. Plan grid expansion.,750,measured,162,137,85.3,2,3,5,185000,True,60,57.5
IBE_029,38.343047,-3.543966,A-4,5,Congested,Endesa,0.0,8.9,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_030,38.092598,-3.838269,A-4,5,Congested,Endesa,0.0,2.5,2,Partner Co-location,Estación de Servicio ASC Bailén,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_031,37.996426,-4.335973,A-4,5,Congested,Endesa,0.0,2.2,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_032,37.886585,-4.763909,A-4,5,Congested,Endesa,0.0,1.1,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_033,37.697876,-5.115053,A-4,5,Congested,Endesa,0.0,10.2,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_034,37.524007,-5.306606,A-4,5,Congested,Endesa,0.0,4.0,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_035,37.431837,-5.839116,A-4,5,Congested,Endesa,0.0,1.7,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_036,37.127571,-5.925977,A-4,5,Congested,Endesa,0.0,4.0,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_037,36.797737,-6.058119,A-4,5,Congested,Endesa,0.0,6.9,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_038,40.649276,-4.07103,A-6,3,Congested,Naturgy,0.335,19.9,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,249000,True,60,54.4
