location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,data_quality,daily_sessions_p80,daily_sessions_avg,utilization_pct,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,fin_revenue_yr,fin_ebitda_yr,fin_ebitda_margin,fin_net_capex,fin_payback_yrs,fin_npv_10yr,is_tent
IBE_001,40.57308,-3.240925,A-2,5,Sufficient,measured,150,131,53.3,79.0,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,True
IBE_002,40.846426,-2.871971,A-2,5,Sufficient,measured,150,131,53.3,79.0,2,3,5,185000,266742,92070,34.5,129500,1.4,517161,True
IBE_003,40.798179,-2.655168,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_004,41.040243,-2.444286,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_005,41.258052,-1.688781,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_006,41.401789,-1.541575,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_007,41.589026,-1.087176,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_008,41.569849,-0.648856,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,370000,266742,92070,34.5,259000,2.8,387661,True
IBE_009,41.517383,-0.083468,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_010,41.519389,0.456923,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_011,41.641292,0.883123,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_012,41.561852,1.230453,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,370000,266742,92070,34.5,259000,2.8,387661,True
IBE_013,41.473692,1.659009,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_014,41.399381,1.982382,A-2,5,Congested,unknown,150,131,53.3,79.0,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_015,40.193142,-3.301801,A-3,4,Moderate,measured,166,137,73.7,109.3,2,3,5,157000,213394,71328,33.4,109900,1.5,391078,True
IBE_016,40.006951,-2.968357,A-3,5,Congested,unknown,166,137,58.9,87.5,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
IBE_017,39.850112,-2.4879,A-3,5,Congested,unknown,166,137,58.9,87.5,2,3,5,305000,266742,92070,34.5,213500,2.3,433161,True
