bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,40.798179,-2.655168,A-2,Endesa,750,Congested
FRIC_002,41.040243,-2.444286,A-2,Endesa,750,Congested
FRIC_003,41.258052,-1.688781,A-2,Endesa,750,Congested
FRIC_004,41.401789,-1.541575,A-2,Endesa,750,Congested
FRIC_005,41.589026,-1.087176,A-2,Endesa,750,Congested
FRIC_006,41.569849,-0.648856,A-2,Endesa,750,Congested
FRIC_007,41.517383,-0.083468,A-2,Endesa,750,Congested
FRIC_008,41.519389,0.456923,A-2,Endesa,750,Congested
FRIC_009,41.641292,0.883123,A-2,Endesa,750,Congested
FRIC_010,41.561852,1.230453,A-2,Endesa,750,Congested
FRIC_011,41.473692,1.659009,A-2,Endesa,750,Congested
FRIC_012,41.399381,1.982382,A-2,Endesa,750,Congested
FRIC_013,40.193142,-3.301801,A-3,Naturgy,600,Moderate
FRIC_014,40.006951,-2.968357,A-3,Endesa,750,Congested
FRIC_015,39.850112,-2.4879,A-3,Endesa,750,Congested
FRIC_016,39.472142,-0.663105,A-3,Viesgo,750,Congested
FRIC_017,40.102486,-3.848275,A-4,Viesgo,750,Congested
FRIC_018,39.807779,-3.971844,A-4,Endesa,750,Congested
FRIC_019,39.550159,-3.738688,A-4,Endesa,750,Congested
FRIC_020,39.123138,-3.892408,A-4,Naturgy,600,Moderate
FRIC_021,38.73317,-4.065275,A-4,Naturgy,750,Moderate
FRIC_022,38.343047,-3.543966,A-4,Endesa,750,Congested
FRIC_023,38.092598,-3.838269,A-4,Endesa,750,Congested
FRIC_024,37.996426,-4.335973,A-4,Endesa,750,Congested
FRIC_025,37.886585,-4.763909,A-4,Endesa,750,Congested
FRIC_026,37.697876,-5.115053,A-4,Endesa,750,Congested
FRIC_027,37.524007,-5.306606,A-4,Endesa,750,Congested
FRIC_028,37.431837,-5.839116,A-4,Endesa,750,Congested
FRIC_029,37.127571,-5.925977,A-4,Endesa,750,Congested
FRIC_030,36.797737,-6.058119,A-4,Endesa,750,Congested
FRIC_031,40.649276,-4.07103,A-6,Naturgy,450,Congested
FRIC_032,40.72503,-4.265124,A-6,Naturgy,450,Congested
FRIC_033,40.981621,-4.250164,A-6,Naturgy,450,Moderate
FRIC_034,41.204354,-4.629356,A-6,Naturgy,450,Congested
