ORION LIGHTING SYSTEMS - FCF Valuation

,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5
Revenue ($M),,18.0,20.16,22.58,25.29,28.32
Revenue Growth %,,12.0%,12.0%,12.0%,12.0%,12.0%
Operating Costs 55% ($M),,9.9,11.09,12.42,13.91,15.58
Depreciation ($M),,4.4,4.4,4.4,4.4,4.4
EBIT ($M),,3.7,4.67,5.76,6.98,8.35
NOPAT @ 30% ($M),,2.59,3.27,4.03,4.89,5.84
Working Capital ($M),1.8,2.02,2.26,2.53,2.83,0.0
Change in WC ($M),-1.8,-0.22,-0.24,-0.27,-0.3,2.83
Capex ($M),-30.0,,,,,
Free Cash Flow ($M),-30.0,6.77,7.43,8.16,8.99,18.67
Discount Factor 11%,1.0,0.901,0.812,0.731,0.659,0.593
PV of FCF ($M),-30.0,6.1,6.03,5.97,5.92,11.07
Cumulative PV ($M),-30.0,-23.9,-17.87,-11.9,-5.98,5.09

EVALUATION METRICS,,,,,,
NPV ($M),5.09,,,,,
IRR,18.5%,,,,,
Profitability Index,1.17,,,,,
Payback Period (years),3.5,,,,,

Terminal Value (Year 5),,,,,,
After-tax Salvage ($8M x 70%),,,,,,5.6
WC Recovery,,,,,,2.83
Total Terminal CF,,,,,,8.43
